Término,Definición / descripción,Sinónimos / términos relacionados,Fuente
SNIP,"Conjunto de normas, instrucciones y procedimientos que tienen por objeto, en el contexto de un Estado moderno, ordenar el proceso de la inversión pública, para concretar los proyectos más rentables socio­económica y ambientalmente en la República Dominicana. (docs.republica-dominicana.justia.com)",Sistema Nacional de Inversión Pública; “sistema de inversión pública”,https://mepyd.gob.do/snip/
Inversión pública,"Uso de recursos públicos o todo gasto público destinado a construir, ampliar, mejorar o reponer la capacidad productiva del país con el objeto de incrementar la producción de bienes y la prestación de servicios. Incluye las actividades de preinversión e inversión de las instituciones del sector público","inversión estatal, inversión del sector público",https://mepyd.gob.do/snip/
Proyecto de inversión pública,"Iniciativa concreta que demanda recursos públicos (o afectación presupuestaria) para generar bienes o servicios que respondan a una necesidad de la comunidad, y que ha sido sometida al proceso del SNIP. (sismap.gob.do)","proyecto público, iniciativa de inversión",https://mepyd.gob.do/snip/
Manejo de la inversión pública,"La inversión pública se gestiona a través del Sistema Nacional de Inversión Pública (SNIP), que reúne el conjunto de normas, procedimientos e instructivos mediante los cuales se planifican, evalúan y administran los proyectos de inversión. Este sistema busca garantizar que los recursos públicos se destinen a los proyectos más convenientes desde el punto de vista económico, social y ambiental, en beneficio de la sociedad. El Ministerio de Hacienda y Economía es el órgano rector del Sistema Nacional de Inversión Pública y, como tal, tiene la responsabilidad de emitir el certificado que acredita que un proyecto de inversión cumple con los estándares de calidad establecidos por las normas y procedimientos del SNIP. Este certificado, conocido comúnmente como Código SNIP, permite que el proyecto pueda recibir financiamiento con recursos públicos para su ejecución, garantizando el cumplimiento normativo, la trazabilidad y la transparencia en el uso de los fondos.","gestion, administración",https://mepyd.gob.do/snip/
Ciclo de vida del proyecto,"Conjunto de procesos e instancias requeridas por la administración pública a fin de planificar, formular, programar, ejecutar y operar los proyectos de inversión hasta el momento en que estos sean incorporados en la normal operación de las entidades y por ende en demandas de recursos que son asumidas por el gasto corriente. Comprende las fases de: Planificación, Formulación, Programación, Ejecución, Evaluación y Cierre.","ciclo de proyecto, etapas del proyecto, fases",https://mepyd.gob.do/snip/
Fase de preinversión,"Etapa inicial del ciclo de vida del proyecto en la que se definen la idea, perfil, prefactibilidad, factibilidad, formulación y evaluación. (MEF)","etapa de formulación, estudio previo",https://mepyd.gob.do/snip/
Fase de inversión / ejecución,"Etapa en que se concretan las obras o acciones del proyecto que fue aprobado, se gastan los recursos, se ejecuta el plan. (dgcp.gob.do)","etapa de implementación, ejecución del proyecto",https://mepyd.gob.do/snip/
Fase de operación / funcionamiento,"Etapa en la que el proyecto ya está instalado y genera los bienes o servicios para los beneficiarios, y se realiza operación y mantenimiento. (sismap.gob.do)","etapa de explotación, operación del proyecto",https://mepyd.gob.do/snip/
Órgano rector,"Entidad del Estado encargada de coordinar, analizar, evaluar, aprobar y supervisar el sistema SNIP y los proyectos del sector público. En RD, corresponde al Ministerio de Economía, Planificación y Desarrollo (Ministerio de Hacienda y Economía) y su unidad técnica. (sismap.gob.do)","autoridad del SNIP, órgano de inversión pública",https://mepyd.gob.do/snip/
Normas técnicas del SNIP,"Conjunto de reglas, lineamientos metodológicos, manuales e instructivos para la formulación, evaluación, gestión y seguimiento de proyectos de inversión pública. (Ministerio de Hacienda y Economía.gob.do)","manuales metodológicos, guía técnica",https://mepyd.gob.do/snip/
Banco de proyectos,"Sistema de información (registro/ base de datos) que agrupa los proyectos de inversión pública, con información estandarizada, que sirven de cartera al Estado para seleccionar, priorizar y monitorear. (docs.republica-dominicana.justia.com)","base de proyectos, cartera de proyectos",https://mepyd.gob.do/snip/
Plan Nacional Plurianual de Inversión del Sector Público (PNPIP),"Instrumento de planificación que recoge los proyectos de inversión pública priorizados para un horizonte plurianual, vinculados al presupuesto. (dgcp.gob.do)",plan plurianual de inversión pública,https://mepyd.gob.do/snip/
Prioridad de proyectos,"Criterio mediante el cual se seleccionan o jerarquizan los proyectos en función de su rentabilidad socioeconómica, factibilidad y alineación con políticas públicas. (Ministerio de Hacienda y Economía.gob.do)","jerarquización de proyectos, clasificación de prioridades",https://mepyd.gob.do/snip/
Viabilidad económica,"Evaluación de los beneficios versus costos de un proyecto desde una perspectiva financiera y económica, para establecer si es rentable para la sociedad. (MEF)","rentabilidad socioeconómica, análisis costo-beneficio",https://mepyd.gob.do/snip/
Factibilidad técnica,"Estudio que determina si es técnicamente posible ejecutar el proyecto, en términos de tecnología, recursos, localización, plazos, entre otros. (MEF)","estudio técnico, prefactibilidad técnica",https://mepyd.gob.do/snip/
Beneficiarios,"Personas, comunidades o grupos que recibirán directa o indirectamente los bienes o servicios producidos por el proyecto de inversión pública.","destinatarios del proyecto, usuarios finales",https://mepyd.gob.do/snip/
Costo de oportunidad,"Valor del mejor uso alternativo de los recursos utilizados en el proyecto — es decir, lo que se deja de ganar al usar estos recursos para otro fin. (docs.republica-dominicana.justia.com)","precio social, costo alternativo",https://mepyd.gob.do/snip/
Operación y mantenimiento (O&M),Actividades necesarias para que el bien o servicio generado por el proyecto permanezca funcional y produzca los resultados esperados en el tiempo.,"mantenimiento operativo, administración del resultado",https://mepyd.gob.do/snip/
Indicadores de resultado / impacto,"Medidas cuantitativas o cualitativas que permiten evaluar los efectos del proyecto: lo que cambió, qué se produjo, qué beneficio se obtuvo.","métricas de impacto, indicadores de desempeño",https://mepyd.gob.do/snip/
Unidad ejecutora,"Institución pública responsable de ejecutar el proyecto de inversión, conforme a lo aprobado en el SNIP.","entidad ejecutora, organismo responsable",https://mepyd.gob.do/snip/
Financiamiento,Recursos (nacionales o externos) destinados a cubrir los costos del proyecto de inversión pública.,"fuentes de financiamiento, cofinanciación",https://mepyd.gob.do/snip/
Presupuesto de inversión,"Parte del presupuesto público anual destinada a inversiones públicas, que debe vincularse al plan plurianual y al SNIP. (dgcp.gob.do)","gasto de capital, inversión pública presupuestada",https://mepyd.gob.do/snip/
Ámbito de aplicación,"Conjunto de entidades, niveles de gobierno (nacional, regional, municipal) que están sujetas al SNIP y deben cumplir sus normas. (sismap.gob.do)","cobertura institucional, aplicación normativa",https://mepyd.gob.do/snip/
Clasificación de proyectos,"Criterios establecidos para agrupar los proyectos según su naturaleza, sector, etapa, financiamiento, tamaño, etc. (sismap.gob.do)","tipología de proyectos, clasificación institucional",https://mepyd.gob.do/snip/
Dictamen técnico,Opinión o visto bueno del órgano rector (o instancia competente) sobre la viabilidad y cumplimiento del proyecto para ser incluido en la cartera o presupuesto. (dgcp.gob.do),"dictamen de admisibilidad, aprobación técnica",https://mepyd.gob.do/snip/
Admisibilidad,Verificación inicial de que el proyecto cumple con requisitos mínimos para entrar al proceso de evaluación del SNIP.,"control de admisión, revisión de requisitos",https://mepyd.gob.do/snip/
Ejecución físico-financiera,"Seguimiento conjunto del cumplimiento tanto de los avances físicos (obra, equipo) como de los desembolsos financieros del proyecto.","ejecución financiera, seguimiento de obra",https://mepyd.gob.do/snip/
Informe de avance,"Documento mediante el cual la unidad ejecutora rinde cuenta del estado del proyecto: plazos, costos, hitos alcanzados.","reporte de ejecución, seguimiento de proyecto",https://mepyd.gob.do/snip/
Operación,"Momento en que el proyecto ya está entregado, funcionando y ofreciendo bienes o servicios al usuario final. Está ligado a O&M. (sismap.gob.do)","puesta en marcha, explotación del proyecto",https://mepyd.gob.do/snip/
Evaluación ex-post,"Estudio que verifica los resultados, impactos y sostenibilidad de un proyecto ya concluido, comparando lo logrado con lo planificado.","evaluación de término, revisión final",https://mepyd.gob.do/snip/
Evaluación ex-ante,"Estudio realizado antes de la ejecución (normalmente en preinversión) que analiza diferentes alternativas, costos, beneficios y selecciona la óptima.","evaluación previa, estudio de factibilidad",https://mepyd.gob.do/snip/
Análisis costo-beneficio (ACB),Técnica que compara los costos y los beneficios sociales del proyecto expresados en valor presente para determinar su conveniencia.,"costo-beneficio, evaluación económica",https://mepyd.gob.do/snip/
Tasa interna de retorno (TIR),"Indicador financiero que mide la rentabilidad interna de un proyecto de inversión, comparando flujos y costos.","retorno interno, IRR (en inglés)",https://mepyd.gob.do/snip/
Valor presente neto (VPN),"Indicador económico que calcula la diferencia entre los beneficios y costos de un proyecto, actualizados al presente.","valor actual neto, VAN",https://mepyd.gob.do/snip/
Planificación estratégica,"Proceso mediante el cual se determinan la dirección, los objetivos, políticas y prioridades de desarrollo que orientan la inversión pública.","planificación de inversiones, dirección estratégica",https://mepyd.gob.do/snip/
Política pública,"Conjunto de decisiones y acciones del Estado que establecen prioridades, normas y recursos para el desarrollo, las cuales deben orientar la inversión pública.","política de inversión, directriz gubernamental",https://mepyd.gob.do/snip/
Intervención pública,Acción del Estado en un área determinada mediante la inversión pública o regulación para corregir fallas de mercado o promover desarrollo.,"acción estatal, inversión dirigida",https://mepyd.gob.do/snip/
Capital humano,"Habilidad, conocimientos, salud y competencias de las personas, considerado como parte de la inversión pública cuando se destinan recursos para ello.","recursos humanos, formación de capital",https://mepyd.gob.do/snip/
Capital físico,"Bienes tangibles (infraestructura, maquinaria, edificios) construidos o adquiridos por medio de inversión pública.","infraestructura pública, activos de capital",https://mepyd.gob.do/snip/
Sostenibilidad,"Cualidad de que los resultados del proyecto sean duraderos en el tiempo, sin deterioro, y con mantenimiento adecuado.","sostenibilidad institucional, sostenibilidad financiera",https://mepyd.gob.do/snip/
Transparencia,"Principio de que los procesos, recursos y resultados de la inversión pública sean visibles, verificables y accesibles para la ciudadanía. (dgcp.gob.do)","rendición de cuentas, gobierno abierto",https://mepyd.gob.do/snip/
Eficiencia,Uso óptimo de los recursos para alcanzar los resultados deseados con el menor costo posible.,"productividad, óptimo uso de recursos",https://mepyd.gob.do/snip/
Eficacia,Grado en que se alcanzan los objetivos o resultados esperados del proyecto.,"cumplimiento de objetivos, efectividad",https://mepyd.gob.do/snip/
Equidad,Distribución justa de los beneficios de la inversión pública entre diferentes grupos sociales y territorios.,"justicia social, acceso igualitario",https://mepyd.gob.do/snip/
Rentabilidad social,"Valor social generado por el proyecto en términos de bienestar, más allá de los beneficios estrictamente económicos.","valor social agregado, beneficio social",https://mepyd.gob.do/snip/
Gestión de proyectos públicos,"Conjunto de prácticas y procesos que aseguran que el proyecto público sea formulado, ejecutado, monitoreado y evaluado conforme a estándares.","management de proyectos públicos, dirección de proyectos públicos",https://mepyd.gob.do/snip/
Participación ciudadana,"Inclusión de la sociedad civil en la fase de formulación, seguimiento o evaluación de proyectos de inversión para asegurar legitimidad y transparencia.","consulta pública, involucramiento ciudadano",https://mepyd.gob.do/snip/
Riesgo del proyecto,"Probabilidad de que ocurran eventos adversos que afecten los resultados, costos, plazos o impacto del proyecto.","incertidumbre del proyecto, contingencias",https://mepyd.gob.do/snip/
Innovación pública,"Introducción de nuevas prácticas, tecnologías o modelos en la inversión pública para mejorar eficiencia, calidad o impacto.","innovación estatal, modernización de la inversión pública",https://mepyd.gob.do/snip/
Interoperabilidad institucional,"Capacidad de los sistemas públicos y entidades de coordinarse, intercambiar información y operar de manera conjunta, aplicada al SNIP para seguimiento y control.","integración institucional, sistema integrado de inversión pública",https://mepyd.gob.do/snip/
Marco normativo,"Conjunto de leyes, reglamentos, normas técnicas e instructivos que regulan el SNIP y la inversión pública. (Ministerio de Hacienda y Economía.gob.do)","regulación de inversión pública, normativa de proyectos",https://mepyd.gob.do/snip/
Fiscalización,"Control, auditoría o supervisión externa e interna de los proyectos y del uso de los recursos de inversión pública.","auditoría pública, control de inversión",https://mepyd.gob.do/snip/
Indicador de desempeño,"Medida que permite valorar la eficiencia, eficacia o impacto de un proyecto o programa de inversión pública.","KPI de proyecto, métricas de gestión",https://mepyd.gob.do/snip/
Costo del ciclo de vida,"Estimación de todos los costos que genera un proyecto desde su inicio hasta su retiro o renovación, incluyendo operación, mantenimiento y eventual sustitución.","life cycle cost, costo total del proyecto",https://mepyd.gob.do/snip/
Tasa de descuento social,"Tasa utilizada para actualizar los flujos de beneficios y costos futuros al presente, en el análisis costo-beneficio.","tasa de oportunidad social, tasa de actualización social",https://mepyd.gob.do/snip/
Análisis de sensibilidad,"Evaluación del efecto de cambios en variables clave (costos, beneficios, plazos) sobre la rentabilidad o viabilidad del proyecto.","análisis de escenarios, análisis de riesgos",https://mepyd.gob.do/snip/
Componente del proyecto,"Cada parte funcional o física del proyecto que contribuye al conjunto (por ejemplo: edificaciones, equipamiento, capacitación).","sub-componente, parte del proyecto",https://mepyd.gob.do/snip/
Indicador de entrada,"Insumo medible que se utiliza para llevar a cabo el proyecto (por ejemplo recursos humanos, materiales, tiempo).","indicador de insumo, input",https://mepyd.gob.do/snip/
Indicador de producto,"Bien o servicio que resulta directamente del proyecto, medible en cantidad o calidad.","output del proyecto, resultado inmediato",https://mepyd.gob.do/snip/
Indicador de impacto,Efecto en el medio o la comunidad que surge como consecuencia del producto del proyecto; más amplio y de largo plazo.,"resultado final, outcome",https://mepyd.gob.do/snip/
Nivel base (baseline),"Línea de referencia inicial que describe la situación antes del inicio del proyecto, contra la cual se medirán los efectos.","punto de partida, línea de base",https://mepyd.gob.do/snip/
Horizonte de análisis,"Periodo de tiempo considerado en el análisis técnico-económico del proyecto para evaluar los costos, beneficios y sostenibilidad.","horizonte temporal, periodo de evaluación",https://mepyd.gob.do/snip/
Costo incremental,"Costo adicional que debe responder a la ejecución del proyecto, sobre la situación base sin proyecto.","costo adicional, incremento de gasto",https://mepyd.gob.do/snip/
Mercado meta,Conjunto de beneficiarios o demanda potencial a la que va dirigido el bien o servicio que producirá el proyecto.,"público objetivo, población objetivo",https://mepyd.gob.do/snip/
Plan de inversiones,Documento que detalla los proyectos planificados con su cronograma y financiamiento para un horizonte definido.,"plan de inversión pública, programa de inversiones",https://mepyd.gob.do/snip/
Programa de inversión,Conjunto de proyectos o componentes agrupados que persiguen una meta común dentro del SNIP.,"programa público, agrupación de proyectos",https://mepyd.gob.do/snip/
Proyección financiera,"Estimación de ingresos, costos y flujos de caja futuros del proyecto, para la evaluación de su viabilidad.","forecast financiero, estimación financiera",https://mepyd.gob.do/snip/
Impacto ambiental,"Cambio en el medio ambiente provocado por el proyecto, que debe ser evaluado, mitigado o compensado.","efecto ambiental, análisis ambiental",https://mepyd.gob.do/snip/
Mitigación de impacto,Conjunto de medidas que reducen o corrigen los efectos negativos generados por el proyecto sobre el ambiente o la sociedad.,"medidas de mitigación, plan ambiental",https://mepyd.gob.do/snip/
Estudio de impacto social,"Análisis que identifica los efectos sociales (positivos o negativos) de un proyecto, y define medidas de gestión social.","análisis social, evaluación social",https://mepyd.gob.do/snip/
Marco lógico,"Herramienta de gestión de proyectos que estructura, en forma lógica, los objetivos, resultados, actividades e indicadores del proyecto.","lógica de programa, cuadro de marco lógico",https://mepyd.gob.do/snip/
Evaluación intermedia (mid-term),"Evaluación que se hace durante la implementación del proyecto para medir avances, identificar ajustes y redireccionamientos.","evaluación de mitad de período, revisión intermedia",https://mepyd.gob.do/snip/
Público objetivo,Grupo específico de personas que el proyecto busca beneficiar directa o indirectamente.,"target de proyecto, grupo objetivo",https://mepyd.gob.do/snip/
Capacitación institucional,"Fortalecimiento de capacidades técnicas, administrativas y de gestión de las instituciones que participan en el SNIP.","formación institucional, desarrollo de capacidades",https://mepyd.gob.do/snip/
Gestión del conocimiento,"Procesos de recopilación, sistematización y uso de experiencias y lecciones aprendidas de los proyectos de inversión pública.","aprendizaje institucional, lecciones aprendidas",https://mepyd.gob.do/snip/
Monitoreo (monitoring),"Seguimiento sistemático del desarrollo del proyecto, de sus indicadores, actividades, plazos y costos.","seguimiento de proyecto, control de avances",https://mepyd.gob.do/snip/
Seguimiento físico-financiero,Combinación de monitoreo de los avances físicos y del gasto ejecutado del proyecto.,"control integrado, seguimiento combinado",https://mepyd.gob.do/snip/
Informe de cierre,"Documento final que presenta la ejecución, los resultados y lecciones aprendidas al término del proyecto.","memoria final, reporte final del proyecto",https://mepyd.gob.do/snip/
Desembolso,Transferencia de fondos o recursos al proyecto por parte de la entidad financiera o pública responsable.,"pago, gasto ejecutado",https://mepyd.gob.do/snip/
Asignación presupuestaria,Distribución de recursos públicos a proyectos o programas dentro del presupuesto de inversión.,"presupuesto asignado, acreditación de fondos",https://mepyd.gob.do/snip/
Subvención,"Recurso otorgado por el Estado a un proyecto, sin exigencia de retorno financiero (o con retorno irracional), para promover cierto bien público.","subsidio, aporte estatal",https://mepyd.gob.do/snip/
Concesión,"Contrato por el cual el Estado delega a una entidad privada la construcción, operación o mantenimiento de una infraestructura, manteniendo una supervisión pública. (dgcp.gob.do)","asociación público-privada, acuerdo de concesión",https://mepyd.gob.do/snip/
Marco de resultados,"Estructura que vincula los insumos, actividades, productos, resultados e impactos esperados del proyecto.","framework de resultados, esquema lógico",https://mepyd.gob.do/snip/
Capex (capital expenditure),"Gasto de capital destinado a la adquisición, construcción o mejora de activos fijos del proyecto.","inversión de capital, gasto de inversión",https://mepyd.gob.do/snip/
Opex (operating expenditure),"Gasto recurrente requerido para que los activos generados por el proyecto funcionen, incluyendo mantenimiento, operación, personal.","gasto operativo, mantenimiento recurrente",https://mepyd.gob.do/snip/
Contrato público,"Acuerdo jurídico suscrito para la ejecución de obras, servicios o suministro dentro del proyecto de inversión pública.","contrato de obra, acuerdo de ejecución",https://mepyd.gob.do/snip/
Marco financiero,"Conjunto de supuestos, fuentes, costos, plazos y estructuras de financiamiento que permiten proyectar la viabilidad y ejecución del proyecto.","estructura financiera, plan financiero",https://mepyd.gob.do/snip/
Desarrollo territorial,Enfoque que vincula la inversión pública con la distribución de recursos y oportunidades entre regiones o municipios.,"desarrollo regional, equidad territorial",https://mepyd.gob.do/snip/
Desarrollo sostenible,"Desarrollo que satisface las necesidades del presente sin comprometer la capacidad de las futuras generaciones, y que la inversión pública debe promover. (docs.republica-dominicana.justia.com)","sostenibilidad, desarrollo de largo plazo",https://mepyd.gob.do/snip/
Programa multianual,"Planificación de la inversión pública para más de un año, que permite continuidad, estabilidad y eficiencia en el uso de recursos.","horizonte plurianual, plan plurianual",https://mepyd.gob.do/snip/
Intervención multisectorial,"Proyecto o programa de inversión que involucra más de un sector público (salud, educación, infraestructura, etc.) de manera integrada.","estrategia multisectorial, enfoque integral",https://mepyd.gob.do/snip/
Gestión de riesgos,"Proceso de identificación, análisis, priorización y mitigación de riesgos que puedan afectar el proyecto.","administración de riesgos, control de contingencias",https://mepyd.gob.do/snip/
Benchmarking de proyectos,"Comparación del desempeño, costos o plazos del proyecto con buenas prácticas o proyectos similares para mejorar su gestión.","comparación de proyectos, referencia de desempeño",https://mepyd.gob.do/snip/
Marco institucional,"Conjunto de estructuras organizacionales, roles, responsabilidades y relaciones que sustentan el SNIP y la gestión de proyectos. (dgcp.gob.do)","gobernanza institucional, estructura de gestión",https://mepyd.gob.do/snip/
Gobernanza del proyecto,"Mecanismos de dirección, control, rendición de cuentas y participación que garantizan la transparencia y eficacia del proyecto.","gobierno del proyecto, dirección institucional",https://mepyd.gob.do/snip/
Cooperación internacional,"Recursos financieros, técnicos o en especie que provienen de organismos internacionales o bilaterales para financiar o apoyar proyectos de inversión pública.","cooperación externa, donación internacional",https://mepyd.gob.do/snip/
Costo-beneficio social,Relación entre los beneficios sociales y los costos de un proyecto desde una perspectiva amplia de bienestar social.,"rentabilidad social, análisis socialmente orientado",https://mepyd.gob.do/snip/
Informe de viabilidad,"Documento que expone los resultados del estudio de factibilidad, con recomendaciones, alternativa óptima y condiciones para el proyecto.","estudio de factibilidad, informe técnico",https://mepyd.gob.do/snip/
Delimitación territorial,"Determinación del área geográfica de intervención del proyecto (municipio, provincia, región).","ámbito geográfico del proyecto, cobertura territorial",https://mepyd.gob.do/snip/
Conciliación presupuestaria,Proceso de ajuste entre los recursos disponibles y los requeridos por los proyectos para que entren al presupuesto anual.,"compatibilización financiera, ajuste presupuestario",https://mepyd.gob.do/snip/
Coordinación interinstitucional,"Acción de articular diversas entidades públicas para la formulación, ejecución o seguimiento de proyectos integrados.","integración de instituciones, colaboración institucional",https://mepyd.gob.do/snip/
Marco de políticas sectoriales,"Documento o conjunto de lineamientos en cada sector (educación, salud, transporte, energía) que orientan los proyectos de inversión.","política sectorial, directriz sectorial",https://mepyd.gob.do/snip/
Registro de proyectos,"Inscripción formal del proyecto en el sistema SNIP con código, datos básicos, etapa, estado, etc.","registro SNIP, codificación de proyecto",https://mepyd.gob.do/snip/
Transferencia de tecnología,"Incorporación al proyecto de conocimientos, procesos o equipamiento que provienen de fuera para mejorar su capacidad técnica.","innovación tecnológica, modernización técnica",https://mepyd.gob.do/snip/
Capacidad instalada,Recursos materiales y humanos disponibles para que el proyecto produzca bienes o servicios.,"infraestructura instalada, recursos operativos",https://mepyd.gob.do/snip/
Costo unitario,"Valor por unidad de medida (por ejemplo, por beneficiario, por kilómetro) en el proyecto.","costo por unidad, unidad de costo",https://mepyd.gob.do/snip/
Intervención pública eficiente,"Que la inversión pública produce el máximo resultado posible con los recursos disponibles cumpliendo eficiencia, eficacia y equidad.","inversión pública de calidad, gasto de inversión inteligente",https://mepyd.gob.do/snip/
Sello institucional de calidad,"Imagen o sello que identifica a los proyectos que cumplen estándares de formulación, ejecución y evaluación dentro del SNIP.","proyecto certificado, proyecto validado",https://mepyd.gob.do/snip/
Programa de gestión de mantenimiento,"Plan de actividades, recursos y plazos para asegurar que el activo generado por el proyecto se mantenga operativo y en buen estado.","plan de O&M, mantenimiento planificado",https://mepyd.gob.do/snip/
Evaluación de impacto ambiental (EIA),"Procedimiento técnico obligatorio para determinar los efectos ambientales de un proyecto, e incluir medidas de mitigación o compensación.","estudio de impacto ambiental, evaluación ambiental",https://mepyd.gob.do/snip/
Costo de inversión,"Total de recursos que se requerirán para poner en marcha el proyecto, incluyendo preinversión, inversión, informe final, etc.","inversión inicial, inversión total",https://mepyd.gob.do/snip/
Beneficio esperado,"Valor proyectado de los bienes o servicios producidos por el proyecto, y su efecto sobre los beneficiarios.","resultado proyectado, ganancia esperada",https://mepyd.gob.do/snip/
Tasa de retorno social,Indicador equivalente a la TIR pero aplicada al conjunto de beneficios sociales del proyecto.,"retorno social, tasa de rentabilidad social",https://mepyd.gob.do/snip/
Método de selección de proyectos,"Procedimiento mediante el cual se eligen los proyectos que serán incorporados al plan y presupuesto, utilizando criterios técnicos, sociales y económicos.","método de priorización, selección de inversiones",https://mepyd.gob.do/snip/
Umbra de decisión,"Valor mínimo que debe alcanzar un indicador (por ejemplo TIR, VPN) para que el proyecto sea considerado viable.","umbral de viabilidad, criterio mínimo",https://mepyd.gob.do/snip/
Plan de acción de mitigación,"Conjunto de actividades que buscan reducir los impactos negativos (sociales, ambientales, técnicos) del proyecto.","plan de mitigación, plan de contingencia",https://mepyd.gob.do/snip/
Pago por resultados,Modalidad en que parte del financiamiento del proyecto está condicionada al logro de metas o indicadores de desempeño.,"financiamiento orientado a resultados, pago basado en resultados",https://mepyd.gob.do/snip/
Autorización de inicio,Acto mediante el cual la autoridad competente da luz verde para que el proyecto entre en la etapa de inversión/ejecución tras haber cumplido con los criterios del SNIP.,"aprobación para ejecución, permiso de inicio",https://mepyd.gob.do/snip/
Amortización,Procesos de pago de la deuda o de recuperación del capital invertido en un proyecto que genere ingresos reembolsables.,"recuperación de capital, repago de inversión",https://mepyd.gob.do/snip/
Marco de monitoreo y evaluación (M&E),"Sistema organizado de seguimiento, medición, análisis y reporte de los proyectos para asegurar cumplimiento de metas y aprendizaje institucional.","sistema de M&E, gestión del desempeño",https://mepyd.gob.do/snip/
Infraestructura social,"Bienes y servicios públicos destinados a mejorar la calidad de vida de la población (escuelas, hospitales, centros comunitarios) adquiridos mediante inversión pública.","infraestructura comunitaria, inversión social",https://mepyd.gob.do/snip/
Infraestructura económica,"Bienes públicos destinados a generar crecimiento económico (carreteras, puertos, redes eléctricas) con inversión pública.","infraestructura productiva, activo de crecimiento",https://mepyd.gob.do/snip/
Obra pública,"Construcción de bienes físicos mediante recursos públicos, parte del ámbito de la inversión pública.","obra estatal, construcción pública",https://mepyd.gob.do/snip/
Plazo de ejecución,Periodo definido para la realización del proyecto desde que inicia la etapa de inversión hasta que entra en operación.,"cronograma del proyecto, tiempo de ejecución",https://mepyd.gob.do/snip/
Cost-overrun (sobrecosto),Situación en que los costos reales del proyecto superan los costos inicialmente estimados.,"sobrecosto, excedente presupuestario",https://mepyd.gob.do/snip/
Tiempo de maduración,Periodo que transcurre entre la identificación de la idea del proyecto y su puesta en operación.,"periodo de gestación, tiempo de espera",https://mepyd.gob.do/snip/
Cambio organizacional,"Transformación institucional o administrativa que acompaña un proyecto (ej. modernización, reestructuración) para asegurar su éxito.","reingeniería organizacional, ajuste institucional",https://mepyd.gob.do/snip/
Costo de proyecto abandonado,"Gastos ya incurridos en un proyecto que no llega a completarse, que deben considerarse dentro del análisis de inversiones.","sunk cost, costo irrecuperable",https://mepyd.gob.do/snip/
Benchmark internacional,Estándares o valores internacionales con los cuales se comparan los parámetros de un proyecto para mejorarlo.,"referencia global, comparativo internacional",https://mepyd.gob.do/snip/
Modelo de negocios público,"Diseño de cómo el proyecto generará valor público, qué actores participan, cómo se sostendrá financieramente.","business model público, estructura de ingresos-gastos públicos",https://mepyd.gob.do/snip/
Moneda de evaluación,"Divisa en la que se expresan los costos y beneficios del proyecto, relevante cuando hay financiamiento internacional.","moneda de análisis, divisa de estudio",https://mepyd.gob.do/snip/
Responsabilidad financiera,Obligación legal o ética de rendir cuentas por el uso de los recursos públicos del proyecto.,"accountability, rendición de cuentas",https://mepyd.gob.do/snip/
Valor residual,Valor que tendrán los activos al final de la vida útil del proyecto o al momento del análisis.,"valor de salvamento, valor de terminación",https://mepyd.gob.do/snip/
Desembolso comprometido,Monto de recursos que el Estado o entidad se ha comprometido a entregar al proyecto en un periodo futuro.,"compromiso financiero, obligaciones futuras",https://mepyd.gob.do/snip/
Presupuesto vigente,"Presupuesto actual aprobado, activo y válido para un período determinado (generalmente un año fiscal) después de incluir todas sus modificaciones.","Vigente, presupuesto actual",https://mepyd.gob.do/snip/
Gasto de capital,"Son los gastos destinados a la adquisición, instalación y acondicionamiento de activos de capital fijo. Los gastos de capital incluyen los pagos con contraprestación, como son: inmuebles, maquinarias, activos intangibles, etc. y pagos sin contraprestación, como las transferencias de capital","gasto, capital, inversión",https://mepyd.gob.do/snip/